"x","y"
210912.69275138,261140.68560295
246521.8067733,260705.66451107
263457.9372208,260305.19405494
267711.78482102,259656.91867772
262772.17619639,259063.79365118
158787.18302822,258795.26864553
269617.9242603,257378.90791272
212099.23734837,256822.5196673
238613.81841888,255962.40127302
209445.05483271,250122.89336006
258984.85955116,238029.8979849
234705.9587261,238009.1862462
230594.63299765,237026.71285456
194271.06985716,226328.66736746
135155.98848396,274366.0844582
174536.48266725,272155.99427997
215353.43301408,270537.90263828
233628.92846284,269917.08694413
198945.69561579,266503.72640918
188014.47583065,265544.60226563
189393.5511,263249.1251
231682.73291401,260881.68232313
244680.42804185,260546.16169528
234568.8638281,259784.81280077
260683.06469187,257944.67603447
279819.51655163,255634.36861145
224445.77515631,250083.42836315
251873.05786665,248102.90377766
240979.10212658,240255.47684752
257351.6129605,237758.31273312
202403.83315425,226096.42549105
219987.16723301,225762.41279845
191933.32078413,223078.60498214
246747.05344172,269310.28941137
130804.58483686,268033.70659222
250040.59117973,265075.82872591
182041.490845,261402.24653172
247839.20574451,260865.39698826
241565.10861785,244690.55184344
237822.33285992,242687.89602173
270949.19010764,236071.15043662
139295.28764986,234052.29430466
153368.88306127,222206.67469165
183047.95504696,220460.52668999
181782.85053594,272450.61298011
137706.4298556,270405.77890236
229751.4711018,262563.00833205
269498.97421169,259956.91908895
118958.6515777,259335.9976848
242542.23830907,258948.47830105
243780.27249379,245880.22673347
240730.98024402,244836.83459836
122641.71332636,232584.64797155
123429.80215378,228381.42446897
218491.20526218,215533.33306062
231902.22381984,212721.55381316
266573.73704667,228980.88874379
119233.13924925,261892.88266288
261869.81583871,259425.3559264
239581.6073821,259327.23305311
262874.84749978,254998.84864289
123176.90107153,245195.71438369
259001.09754067,237582.02805393
120338.97361039,216183.79305782
134462.52268097,215913.59221149
219775.02645574,215506.8439182
165362.98814926,269839.17259348
231289.7529976,266265.9905333
246486.72660803,264491.85760805
132898.10550941,262220.62204425
163085.73347083,257550.73664052
274605.96236927,254234.59927442
276392.4414976,245828.16659139
128987.02906806,242765.44329284
218520.31828731,231999.92903858
256372.47713337,229501.84444933
122218.74146743,225198.76489956
185552.07650857,223522.58195375
176725.95823472,219852.02626841
245800.94275451,267127.60223002
236668.17191996,264677.58766007
226172.92691345,263186.02982908
241716.11836246,262638.12234016
166415.45484773,260209.0840983
258163.50386763,260057.60570593
277252.64202645,250785.20546096
155466.81511796,246223.91598763
251447.4262525,241098.56598776
271461.4687502,236379.06922681
203288.1031878,233014.99482412
190230.46392211,224790.91412658
187552.22319958,223713.83493405
176279.96509164,217729.19361677
199129.37706525,216269.5082258
132682.77624535,274150.32125483
237935.02412657,265246.8749959
130176.15019054,263036.5985509
273558.87838779,259693.54955586
284359.55017304,259046.25177372
126616.85869011,250749.19866341
220632.86792049,234671.45872537
237180.64972495,233096.17186029
194225.9792488,232862.63919546
128773.87103957,232545.3417972
246824.49884481,231010.26281784
194424.46020599,224004.84938399
187543.15159313,223772.90064707
172902.17259455,223767.9486813
201449.63507992,220097.11415413
134768.76756494,218587.68818947
175933.7413975,217668.3890237
251434.42737631,215533.96603548
129732.58791182,271339.93824481
148722.37264783,270211.790662
131198.6203517,268498.90017828
167636.57258761,265076.2220508
224550.03301425,264621.51546522
196001.62926925,262501.71772122
201705.33839274,258619.2541303
196214.95822813,256239.58297756
196214.95822813,256239.58297756
216728.66836725,245061.38468847
270713.93808875,240913.15758949
306535.9314669,234353.51318626
195093.11518315,232983.10405404
190956.1566818,228588.50175793
138701.07360777,225702.07251496
159554.23217558,217604.43683917
127560.00535063,267934.00201623
201916.67825713,261664.96017289
258168.3161087,239456.08737378
184506.27919831,220732.07410135
130949.79038618,272820.2971149
123509.78339103,271261.57870338
244200.8874047,267475.11371156
263023.92302984,266209.06419134
162242.64435012,265542.65932661
188967.57827052,263568.12820422
223752.32676917,262567.57429095
233290.75104839,261363.55722011
197298.85809295,261058.09120311
231654.33519098,258112.67850819
225137.31447631,255880.57283759
259091.26600503,253909.52625153
126794.38040055,248958.38711636
284505.70591171,245126.78463535
258528.20448669,239480.21924979
210221.19992736,235541.26694
238234.29158884,227631.7089943
196585.34825436,223019.92800829
258321.56208505,218430.73529222
136839.38074097,253430.03968963
226602.97760777,254317.94284773
277687.680852,253117.49290316
172757.14761534,247321.900744
124503.19535923,241138.91213565
182996.03859344,221858.78865593
124649.65639599,270200.38253127
239764.79203388,265720.66664152
238708.485457232,265092.564106466
232070.77968893,261671.92474745
229694.0567194,259637.2849559
258572.22823595,257548.44339617
235887.3606312,255182.94387028
208940.15787917,253989.16742386
248441.27738063,252838.44831268
220517.48453536,246601.30964096
124324.303382255,240767.583463209
124402.92846754,234620.29920802
120604.26570158,225502.51513044
190612.81516915,225083.35527381
190036.4365593,224613.86096377
182995.87067976,221858.48079917
246645.40042481,218735.12406061
218523.46444132,218628.27184627
176641.17289868,217762.87148876
130526.44811243,275344.3417273
161478.46353972,269386.29198966
227302.75147312,266176.14940348
220412.80508111,265470.72280603
242649.25340684,261857.44426704
260926.18910404,259518.48216567
275636.46323828,258603.48581705
275677.80223018,258590.29767606
275634.54606886,258580.72329165
275917.12433892,258577.06118036
275675.5526887,258561.91996758
275638.2934266,258516.07831683
238140.74236966,245132.5119462
249681.34121411,242817.46836468
252945.90655347,239350.58397511
248108.14631032,233816.43931615
122268.31473918,225239.91037506
175321.71924988,217373.93598758
216207.09341735,216335.03105494
252509.58552758,215881.06411546
187433.13634925,272328.77928575
177248.51309201,272240.64323025
166254.91743351,270284.68822063
230886.97153739,269185.1840394
238116.14727548,269007.99839279
173137.19331625,266202.46209247
202564.64270096,265783.09156678
254735.73302286,262781.56967583
235138.42626293,262376.88217893
254830.70538648,262091.35087362
261868.69695353,259643.02845762
284534.80350535,258928.56431651
225181.7007751,258800.74526031
160860.91809631,258065.22180337
254854,245855
124365.70881941,240918.51634817
240637.82652533,238357.31854273
268795.01200439,237476.80083441
230209.64044662,233432.71128173
159533.15289959,227371.64180614
189019.4964097,219951.67527649
130804.72281231,217727.58092384
176249.10069032,217597.73111895
222177.61740474,267796.79496897
138846.48868543,256479.6010291
128081.31161956,242351.36803411
203070.24229908,272004.18065089
238817.08152568,268467.00120761
222953.07032638,267184.09382488
127506.4919371,267049.1707304
177057.65609588,266225.8578726
237839.03649102,265448.26299591
121947.55968431,259047.74492874
278262.52108292,255907.67540041
248269.14860027,255243.26934916
247103.85790523,255121.55901355
230834.52011392,250774.71184589
210395.43924976,248044.48798458
241432.34305444,243471.51794202
124970.09945361,239580.691662
258155.48379169,238253.68165488
217406.33359103,233918.28049345
217683.59699608,233738.33673053
129614.10920988,226118.62409821
209992.86855133,221105.51140574
209444.24315302,220511.8717772
239785.994489,218676.24244372
131356.33609156,274279.22655245
145428.52372408,269378.59762642
184926.25323585,258945.35315519
123414.47858472,256522.2049921
120698.3646633,251754.37389005
155133.95876197,249679.09874836
216504.88022781,242249.82217812
182649.48666608,230607.70775741
169976.31243809,224808.91981295
143945.54378374,224102.19838424
192136.37734574,223039.70328392
219042.0722634,218393.84305446
181098.8043487,217779.85732416
215106.1259,215552.5524
203210.96162018,214115.0045687
182495.72154984,272346.28414695
184030.19441029,271941.77180246
241450.46564442,265592.65847417
238554.14123874,262710.02456711
121186.90111004,259574.36055513
242551.33852801,259289.35750278
232903.92294513,258550.97728591
225253.2803479,256367.74858715
138109.24377338,255905.45265628
209872.32692492,231172.29734422
128591.38737568,222157.53157655
130843.8729599,273251.96561996
128479.12510397,273075.32871443
155334.14052687,272328.52635055
168537.6996377,270175.50416161
238733.36733227,268870.4133177
239970.76815257,268712.55392261
239125.00517119,268262.77829565
206257.335718239,265942.109656121
223060.41858104,263000.2687623
229167.81363538,262882.07682483
228065.09768686,262587.73500918
218858.78551998,245833.45370742
238430.72949906,242597.3960026
267048.7299382,227947.68024839
254638.04910333,223368.75471239
134337.58282921,218043.3472455
176066.00687505,217687.84334786
127802.82228236,272757.67785554
236590.76835233,260876.38913337
182611.50675325,219520.41608015
252576.88395816,215685.05632709
122809.70963848,269641.32157921
187564.01458511,266236.26658673
239764.79203388,265720.66664152
121146.30761515,254456.92562729
235776.02591247,216245.28860997
166098.65750385,270104.60610415
260026.92051461,266467.21744524
281824.81133997,257176.92645975
241565.10861785,244690.55184344
242940.621902896,241724.459421758
229180.43620626,237917.97958749
125047.88249893,235852.86465985
214836.4304751,232323.42559152
130924.13805409,227788.35983689
123574.84919056,221504.96485063
134704.8715,274206.243
236047.83628827,268475.36320728
234716.35581218,262456.9274467
244743.5456999,262407.67957309
244743.5456999,262407.67957309
283993.70764341,255380.26693288
226088.47528787,255108.22798301
283283.89096494,251847.67264612
165529.68594993,248252.80544241
167298.74936431,236233.13407818
264319.19945632,235652.14299657
229951.84744697,233558.36487121
140208.02348274,227197.96873312
170125.30743871,224738.60534644
120780.45147107,222845.20401323
219195.98707026,218524.09242412
176618.96840957,218446.7496509
193472.93397827,217658.72109753
175219.86555053,217605.58151205
194255.8042157,217535.86323806
208957.31575833,271146.84952993
237558.61844892,268581.01229416
192005.43031944,267289.54915539
241349.51545464,264208.34919936
146865.2176161,255874.89847737
121010.47196984,252959.91852594
127521.43394644,249235.60543074
272574.97565232,245179.38515706
216921.6078,236101.297
193123.8121991,233625.41617333
253385.48732348,231895.3679536
181421.7079935,225329.79777874
131206.07864424,222608.771181
239956.25908526,217278.00445143
242015.37233048,216162.19994031
125727.10224179,267965.7704628
239357.49002034,267628.35116253
239063.85355145,265575.27483508
189309.71615201,263093.75987538
240508.59202945,262538.73486844
249368.27056229,262086.45866494
120277.77776304,261572.58566169
120946.53694919,258874.58132666
139705.38073087,257231.70945212
252608.51808543,246962.57567878
253379.78428021,240149.04705616
213868.0582006,232431.50661419
213627.73152924,227382.55686298
152108.68513267,221049.48192086
178036.6874329,220980.76523552
124386.092661,217622.22566429
128336.46265849,272785.84409664
161756.91063202,272313.72101714
209326.09326152,266990.11939919
239469.44064513,265554.00116071
214018.7148685,262661.33291135
254504.42421061,261530.4882867
251712.66538693,260455.97953349
270193.70763548,259560.21552954
200876.56527358,258076.73476194
320336.12306495,253440.17091326
226252.23820753,251643.15833959
230889.7181898,247356.51848387
256758.71261187,237920.48804098
266114.2634963,234308.51289359
227626.46526544,230327.28521443
209293.5492978,227583.86354344
221083.93288126,226072.36248115
119695.09419409,216216.81884378
125155.50943864,240363.28735378
160379.59298221,270917.86551602
214660.18028502,270411.1431747
166535.56165178,269562.96333218
247791.78414144,266587.08670966
240497.90762284,264860.03182339
177536.8777419,264323.27574967
166431.86214779,260328.94656623
284493.21938197,256358.48806134
233891.2277513,253567.07359085
237957.1885815,246021.90248543
235060.59121653,218617.89654814
241312.24984756,268482.80058921
191591.97165143,268184.83130576
138293.60660461,268061.86769204
237935.02412657,265246.8749959
231224.25104331,261691.12780051
120672.18230344,259802.28410073
120672.18230344,259802.28410073
238198.36196283,259238.91410706
226702.97146558,256327.40462323
239191.31212445,256144.96687494
203959.05712071,246478.38800461
241848.4978718,243475.18126559
250741.92365541,243338.37661107
125131.09330874,240271.64790978
258273.00855983,237489.79696172
170168.71006571,235197.93133409
168116.04286702,233309.09291666
139792.5842128,230280.14053408
214218.1923,227326.694
182420.96272639,226593.55078333
240097.57374408,218399.40269025
234148.26990434,217206.42942612
234367.09819828,214200.12947092
163780.53293296,270794.53614729
240828.05040527,268251.52124345
